Uniprot_A,Uniprot_B,author_score
Q8TBE0-1,Q99750, 0.913786850801
O14503,Q8TAP4-1, 0.888845277183
P51687,Q8WWB5-1, 0.798648063316
Q86UW9-1,Q9NXW9-1,-
A0PK11,P26715-1, 0.84662844439
Q02930-4,Q9BYQ3, 0.930715020102
Q08426-1,Q96GQ5-1, 0.688265775566
Q9NVV5-2,P48051, 0.710274032249
Q92734-1,Q9NZC7-5, 0.699438230748
A0A1B0GTW0,Q13520, 0.670059089554
P30825,Q15436-1, 0.683352398558
Q5T7W7-1,Q9UKT9-1,-
Q8WWV3-1,Q9GZV5, 0.853485379828
Q8IVT2,Q14192-1, 0.903350610595
Q9NUL5-4,P60370,-
O43251-10,Q9UQM7-1, 0.889018413494
Q9UIQ6-2,P15884-3,-
Q15937,P60410, 0.884891965985
Q6P597-1,Q9NS73-5,-
P61970,Q9NSI6-4,-
P51116,Q03393,-
Q9NYB9-2,P35900,-
P60520,Q8N8K9-1,-
B8A4K4,Q7Z3C6-3, 0.929940810742
Q04864-2,Q96RK4-1,-
C9IZW8,O95994, 0.830129192549
ENSP00000408168.2,P60411-1, 0.900069020405
Q14CN2-1,Q96RD7-1, 0.681832948056
Q06547-2,Q12933-1,-
O14508,E9PEI4,-
P18075,P14373-1, 0.890546385747
Q93062-3,Q9UQM7-1, 0.898444661976
Q9NWQ4-1,Q9BWT7-1, 0.847406314482
ENSP00000476265.1,Q96CS2-1,-
Q9UHD9,P48723, 0.932514175259
O75396,Q9GZR5, 0.69918902273
Q9UGU5,O75928-2, 0.793617297501
P50402,Q8N6L0, 0.885909123858
O95863,Q7Z3S9-1,-
Q9HCZ1,O95273-1, 0.867787094644
Q8WWY3-1,Q9BVG8-5, 0.885967455199
P30519-1,Q9BUF7-2, 0.688203968773
Q08117-2,Q9BR10, 0.805130196479
Q6ZSG2-1,O75031-1, 0.91687557818
Q6NSM0,P49639, 0.862211887508
O96006,Q9NX04-1, 0.904468455023
Q96JM7-2,Q9Y4Z0,-
Q99750,Q9H0U9, 0.919927362567
A0A024RAC6,O14744-1, 0.864587109204
Q16874,Q5TA77, 0.877316371297
Q6P1M9,Q92624,-
Q0VAQ4,O15552, 0.670015380308
Q16552,Q9BQC3-1,-
Q5T7P3,Q8IWZ5-1, 0.909403905626
Q99757,Q9HD42-1, 0.841660868377
Q96A72,Q9BWT7-1, 0.847406314482
Q92731-3,O15162-1,-
P09619-1,O76011, 0.863599606333
O00560-1,O95259-2,-
Q53S33-1,Q9NRD5-1, 0.90541598274
O95863,Q12933-1, 0.894565984098
ENSP00000462298.1,P04899-3,-
O00560-1,Q5VSY0-1, 0.817732480136
P47897-1,Q7Z698-1, 0.83861531021
Q3LI66,Q7Z3C6-3, 0.86628867265
Q9BSH4,P36406-1, 0.873113189485
Q9NQT4,Q6ZSJ9-1,-
Q9NQB0-6,A1KXE4-1, 0.80371427336
P57075-2,Q15323, 0.920502530451
Q04941-1,Q5JX71, 0.711600263159
Q4LDR2,Q12908, 0.679082867635
P32321-1,Q96EH3,-
Q6ZNH5,Q96BR9, 0.91357425993
Q8N661,P19397, 0.702513847093
P78368,Q92624,-
P10606,P31321, 0.936496176766
P63261,P60709,-
P03973,Q8IZU0-1,-
Q7Z3K3-1,P86496,-
P60508,Q03518, 0.711613671998
Q5JR59-3,Q99959-2, 0.910256711922
O14633,Q5TA78, 0.891555103683
Q9UBX3-2,Q9BYR5,-
A0A087WZ82,Q96MV1, 0.703017059634
P08243-1,Q86WT6-2,-
B1AHH4,Q4G0X9-5,-
Q969G3-1,Q9Y2J4-1, 0.890819440193
Q8N2M4,Q15125, 0.638276823167
O95363,Q96T49-1, 0.704735993831
Q3LI72,Q96LX7-5, 0.787468617447
Q96NC0,Q9UBB9-1,-
P23109-1,Q01433-2, 0.884022869528
ENSP00000426358.1,Q99795, 0.700300129057
P49901,Q9BYS1, 0.840554560582
O95817,B8A4K4,-
Q07108,Q9NS64, 0.815174414173
Q5JR59-3,Q8IYI8, 0.909321891083
P57105,Q9Y282-1, 0.645177877247
P86479,Q6P1W5-2, 0.892578604003
Q15077,Q9BYQ4, 0.906395775206
P17024,Q9BVG8-5, 0.862182327122
O43889-2,Q969L2,-
Q9P2A4-1,Q6UXY1-2, 0.70233678973
P23769-1,Q8IUC2, 0.811347401452
Q86WT6-2,Q9H944-1, 0.708163977543
P14678-2,Q70EL1-9, 0.862094847182
P17544-5,Q8IZU0-1,-
Q0VD86-1,Q92748, 0.658783751119
P25067,Q8WZ55, 0.685691969123
Q02446,P14859-1,-
O43765,P16150, 0.92855534438
Q96MV8-1,Q9BSR8, 0.690194936642
P32242,P0CG21, 0.8080756722
Q9H1Y0-1,A5LHX3, 0.752405106992
Q5T7P2,Q9BYQ4, 0.926567031637
Q6VN20-1,G5E962, 0.880334099036
P55072,Q96LK0,-
Q2TBE0-1,Q9NQ69-1,-
Q969X1,Q6P531-1, 0.821592518342
P34981,Q8WW34-2, 0.682859344058
O43169,Q96Q45-2, 0.788113629559
O15374-3,Q9BRK0-1,-
O94842-1,Q8N9N5-7,-
Q9HC52,Q9BWT7-1, 0.88114715386
O75344-1,Q9NQ34-1, 0.72169812963
O14964-1,Q9BUZ4-1,-
A0A0C4DFT7,O43889-2,-
P40222,Q68CZ6-1, 0.904641519448
Q8TD31-1,Q96I25,-
Q96F15-1,P30273, 0.682459653294
P0CB47,Q5T5X7, 0.85605934457
ENSP00000493121.1,Q8N720-1, 0.664621949882
O75340-1,Q9UBV8,-
Q8TBB1-1,P55072,-
Q13561-1,P24522-1, 0.900573560794
O95872,H7C3Y1, 0.708495318918
Q68EN5-1,Q8NAP8-1, 0.8427837844
H0YLW8,Q8N0S2-1,-
Q9BQY4,Q15038-1,-
Q96IQ9-1,Q96EQ8, 0.818223267159
Q9P2K6,Q8WTU0,-
Q4LE39-3,Q96HA8-1, 0.794428793041
P84101-3,P86481, 0.918994715017
O75093-1,P60410, 0.832128315918
Q9UHD9,Q5M9N0-3, 0.739523720459
P28676,Q8NFV4-4, 0.828202742363
Q7Z3C6-3,Q8TDS5, 0.824408626782
O76015,P61968, 0.802935885169
Q9UI95,D3YTJ2,-
O43889-2,Q9Y3D6,-
Q92558,O75031-1, 0.906206502641
Q96SQ5-1,Q99750, 0.935771488753
Q15036-1,P31273, 0.91476258299
O95376,P26367-1, 0.880619402132
P62820-1,Q9UI14,-
Q8N5A5-2,Q01850, 0.880866318939
G5E9L9,Q2TAC2-2, 0.849494970913
Q03014,Q3LI67, 0.924014618078
P11836-1,A0PJX8, 0.699401535749
Q92997-1,Q9H707, 0.702864217073
Q86Y82,Q6ZSS7, 0.674911471958
O43447-1,Q99633-1, 0.947143577327
Q92993-1,H7C4R2,-
Q86VR2-1,Q9ULZ2, 0.884702659769
Q96PF1,Q719H9, 0.858254596182
Q9UBU8-2,Q96B67,-
O00258-1,Q8WTS1, 0.707564396246
P38159-1,P62995-1, 0.887475595567
O76011,Q504T8, 0.898531959235
Q15848,Q6UXG8-3,-
Q99750,Q9UIE0,-
Q53HV7-1,Q9UJX2-1,-
P30044-1,Q7Z417-1, 0.846690733827
Q9BU61-1,Q9P032, 0.751513389992
B3EWG3,P80188-1, 0.72388557749
Q9H257-2,P08727,-
P26678,D3DPN2, 0.802364058361
Q15287-1,P49760-1, 0.910447577068
Q9NTG7-1,P50542-3,-
P60033,Q9NR31-1, 0.662999537414
Q8WTX9,Q9HD26-2, 0.874553617661
P32969,Q8TAP6-1, 0.864404712586
Q92824-2,ENSP00000462298.1, 0.880340058265
Q14696-1,Q9HBI6, 0.65342162362
Q8TCX5-2,P54257-1, 0.850506365564
O94868-3,P78358-1, 0.90119419317
A6NI15,O95229-1, 0.763292665171
Q14192-1,Q96D03, 0.834123700422
Q01081-1,P61978-2,-
P05161,P41226,-
P02538,Q7Z3Y8, 0.906937825752
Q9BWG6-1,P48059-1, 0.689525533784
Q8N6F1-2,Q9NWD8-1, 0.724424950789
P49639,Q9UHV8,-
P43360,Q9BQE9-1,-
E9PPJ0,Q15427,-
P56282-1,A0A087WW42, 0.89096781235
P57081-1,P53611,-
Q8TDV0,Q8WWF3,-
P35900,P37198,-
O75716,Q9Y2M5-1, 0.829971091521
P48443,P12532-1, 0.815533719897
Q6PIF2,J3KNI5, 0.875562596608
Q8NCR3-1,P0DP24,-
Q9UIG4,Q9UBR4-2, 0.924589271712
O00155,Q9HD89-1, 0.908076345836
A1L4K1-1,Q9H0E9-2, 0.866243044815
Q07627,Q13554-3, 0.880202926902
Q6PIV2-1,Q96IK5, 0.881114731577
Q6PI77,Q96PV4, 0.8685320368
Q9H5X1-1,O60831, 0.698227794261
Q6ICB0,X6RM59, 0.893791892241
P35680-1,P55197-2, 0.818823404167
P40227-1,Q9BZY9-1,-
P17735,P17735, 0.901058235784
P0DP23,Q8NCR3-1,-
Q9Y6X1,Q7Z5P4-1,-
Q68G74-1,Q86Y26-1,-
B2RUY7-1,Q8IUC1, 0.818449650639
P17028-1,Q9UJV3-2,-
P50548-1,Q9UGI0, 0.911542115128
O43186,Q7Z2X4-3,-
P38159-1,P79522-1,-
P01137,Q6UY14-1, 0.903311680768
Q9BVV2,O60232,-
O43889-2,Q9BQB6-1,-
Q07817-1,Q92934, 0.857173505327
Q9BQ66,Q969P0-1,-
O00148-1,P21673,-
O60336-1,P60410, 0.897180301782
Q9UJX0-2,P50222,-
Q6L8G9,P50222, 0.93424815288
Q12805-1,O43765,-
P21964-1,Q9NV29, 0.672729431882
Q15025-1,Q9GZQ8,-
Q96DU9-1,Q9BPZ3, 0.828216521157
Q14240-2,Q7L190,-
Q9UJV3-2,A1L4K1-1, 0.898690208802
Q9BZL1,Q9NQ35, 0.679615619112
Q9BWG6-1,P52742-1, 0.778526759899
Q9H7X3,B8A4K4, 0.924391386793
Q96RJ6,O43765,-
P59990,Q9UHD9, 0.779028721256
Q53QW1,Q9NUH8-1, 0.670655497348
Q8N1B4-1,Q8TAB5, 0.905116163493
Q9Y320-1,Q9NUH8-1, 0.692709431124
P57075-2,Q9UGI0, 0.911542115128
Q3SY00-1,Q9Y2D8-1, 0.88286578464
Q86VZ6-1,Q8IZU0-1,-
P53618,Q86T90-1, 0.853844509995
Q9UKI8-1,Q3KNS6-1,-
ENSP00000492907.1,Q96N21-1,-
Q9Y5S9-1,Q96A72,-
Q13526,Q96C00, 0.906904636195
M0QXR4,P31273, 0.832129812876
A0A0C4DFQ7,P40189-1, 0.830608556616
Q6PEW1,Q8ND90, 0.891367839293
P07108-2,Q9UHV9, 0.737084711222
Q96S94-5,Q59EK9-3,-
Q9NXK8-1,P63208-1, 0.923735682424
Q9GZM8-1,G5E962,-
Q96B97-1,O43597,-
Q8WWY3-1,Q9BZW7-1,-
O43395-1,Q15276-1, 0.851705350753
Q9ULW3,Q8NHQ1-3,-
O15160-1,Q5T3J3-1,-
O43711,Q8IUB9, 0.718484953812
Q08AF8-1,Q8NC69,-
Q8N9N5-2,Q96BD5-1,-
P56470,Q9NZQ3-3, 0.779670575598
Q8IZR5-2,Q8NI60-1, 0.708597283024
Q96IQ9-1,Q3LI66, 0.895091169084
Q9UJC3-1,P51504, 0.725238657741
Q96HA8-1,P49247,-
H0Y8A2,Q02446,-
Q6P2R3,Q9BRK4,-
P10124,O43765, 0.942938136987
Q9HC98-1,Q8TBB1-1,-
Q6PF05-1,O15320-5,-
Q08426-1,Q8NC69,-
O15482,Q9ULS5, 0.833854058388
ENSP00000493357.1,Q969H4-1, 0.866231844994
A0A087WTU5,P56545-3,-
Q9H0E2-1,Q3SY46, 0.80752760832
Q8TAC9-1,O43889-2,-
Q86UU5-1,Q96B97-1, 0.862497965392
P0CW19-1,P41182-1, 0.808238524133
Q96AQ1-1,Q96LK0, 0.828596324027
Q5JR59-3,Q63ZY3-1, 0.897136692812
Q8TBB1-1,O95751,-
Q13422-7,Q96EZ8-1,-
Q9P0T4,Q9UPG8, 0.802027629679
Q02086-1,Q8N9N5-2,-
P62937-1,Q8TBB1-1,-
Q9NQV6-5,Q04864-2,-
Q08AF8-1,Q8N6Y0-1,-
A6NC98-1,Q53FD0-2, 0.82444140784
Q9H8E8-1,Q9UHV2,-
Q95460-2,Q969F0,-
Q9ULW6-1,A8K0Z3,-
Q7Z6J9-1,Q9NZQ3-3, 0.819069888975
Q53TN4-1,Q9Y6X1,-
Q08AG5,A6NEM1-1, 0.87748641093
Q86YD7,Q13137-1,-
O94929-2,Q9UKT9-1, 0.88320246002
Q8NHU0,O00560-1,-
P46940,Q12905, 0.796337724607
P78424-1,Q9Y5B8-1, 0.862180193103
P63167,Q9NSC5-1, 0.937042172309
Q8N3L3,Q9NS73-5,-
Q8IXM6-1,P30040-1, 0.676554428614
Q5T409,Q96CN9, 0.872807732584
Q9P0B6,Q8N661, 0.697526809172
Q8TD31-1,Q8IZP0-5, 0.899144806577
Q96C03-1,P62166-1, 0.813021395868
Q86VK4-3,Q5T3J3-1, 0.68942062898
O14503,Q15038-1, 0.905482485558
P25786-1,P32321-1, 0.911488812064
P23434,Q13287, 0.873399085558
Q8WTU0,O14641,-
Q6L8G9,Q9BYQ4, 0.934753479013
Q96BD5-1,Q14192-1, 0.889922594143
Q96QG7-1,Q9Y216-1,-
P11912-1,Q8N661,-
P04921-1,Q3SXP7, 0.702062383859
Q9Y3M9-1,Q13137-1,-
Q9Y3B7-1,Q5JR59-3, 0.925157934374
P49639,Q9BYQ4, 0.948953897625
P60520,Q66K14-2,-
O14817,Q5TA76, 0.833125192275
P34910-1,Q9Y5Z9-1, 0.701571582559
Q9BVG8-5,Q9H257-2, 0.91784968535
O43639,A1L443, 0.886697389704
Q7Z589-5,Q5T409, 0.868710102261
Q9BT49,P60410,-
P30301,P32856-2, 0.886809131551
Q96A72,P17023-1,-
A0A0C4DFT9,H3BLU1, 0.896931739115
Q9H2A7,Q96BA8-1, 0.88577036342
Q5BVD1-1,Q6P4E1-4,-
Q13163-1,Q13501-1, 0.814251203915
Q96HA8-1,P61604, 0.925713438105
Q9H0U4,P47224, 0.919798433301
P61978-2,Q9BTD8-1,-
A2RU14,Q96BI3-1, 0.73441291811
P53367-1,Q9BSY9-1, 0.710138952562
P61968,Q06547-1,-
P17152,Q9BVX2-1, 0.80800010406
O76011,Q3SYF9, 0.726825404676
Q5T7P3,Q9BYQ4, 0.953705923089
Q96EG3,Q8IUG1, 0.905192221136
Q9UHX1-4,Q9UHR5-1,-
Q63HR2-5,Q8TAU3-1, 0.868206070226
P62760,Q96AQ9, 0.9083015586
O75379-1,P00387-1, 0.669283616873
Q7L5A3-1,Q3LI72, 0.794968420874
Q9BZW7-1,H7C4R2, 0.882664165116
Q9NQG6-1,P08247-1, 0.835540412328
Q6PJI1,Q9HAT0-1,-
P25800-1,Q9NQX0-3, 0.868837820923
O15212,Q9NQG5, 0.703836969587
Q96GC9-1,Q9NUM3-1, 0.676028910612
Q07817-1,Q9H2K0, 0.675306904368
P49638,Q9NR31-1, 0.684994131011
O75351,Q9HD42-1, 0.835038417014
Q6UX34,Q13520, 0.646106416029
Q9NUL5-4,Q9Y2D8-1,-
Q01453,ENSP00000405973.1, 0.678470499443
Q68D86-1,Q9UHP6, 0.886278240678
Q9NX04-1,A6NC98-1, 0.840850157926
Q13515,P59942, 0.694368437801
Q3LI72,Q16633, 0.816890848647
O75604-1,A6NC98-1, 0.843010465577
Q6ZMU5-2,Q96GM5-1, 0.689166549379
O75604-1,P19012-1,-
Q6UWT4-2,Q8TAF8,-
Q9NPJ8-3,Q70EL1-9,-
Q13114-1,Q9UKD1, 0.8655932008
O43889-2,Q96A57-1,-
Q96PV4,Q9ULU8-2, 0.856051849058
Q04941-1,Q9H5X1-1, 0.674688332067
A8MTA8-2,Q93062-3, 0.916428575242
P0DI81-1,O43617-1, 0.925519924296
Q32MQ0,P56545-1,-
P58397-3,P60660-2,-
P07947,Q6P1W5-2,-
A8MT33,Q8TF50, 0.860898697656
ENSP00000465194.1,Q9BSR8,-
Q9H257-3,Q9BYV2-1,-
P28222,P35609-1, 0.867106449808
P10745,P49639, 0.804818755107
P0C7X2-1,Q8NHQ1-1,-
P56851,O15393-1, 0.785324232918
O43889-2,Q9UNK0,-
Q08426-1,P17661,-
Q8N5M4-1,Q8N6Y0-1, 0.909569486189
Q53TS8-1,G5EA54, 0.877417238961
Q6Y1H2,Q13651,-
B2RUZ4,O15393-1, 0.838731328488
O43609,Q99750,-
P35219,Q9BPX1, 0.915365557697
P48047,Q9BXU3, 0.870940489292
O75679-2,Q9NQP4, 0.90378837972
Q7Z2K6-1,Q6UWN5-1, 0.684768367129
Q96C00,Q8N8U2, 0.822208688427
Q00994-1,Q7Z6G3-2, 0.900019898563
P14784,Q15645-1, 0.870591291963
Q6ZSS7,Q9NWH2,-
Q9UBC1,Q9Y5B8-1, 0.696764226887
Q9BXU0,P24863-1, 0.843582385257
Q71SY5-1,Q96CS7-1, 0.699358580154
P86480,Q9Y5V3-1, 0.881853098928
Q96Q77-1,Q08117-2,-
Q9HBE1-4,Q96G42, 0.810649420812
O75177-1,Q8HWS3,-
O95147,Q8NA61-2,-
Q9BVK8-1,Q96Q45-2, 0.814239963831
J3QSH9,O15055-1, 0.820637307626
P56524-2,Q92764, 0.857605891442
Q14318-1,Q9NUH8-1,-
Q9P2K3-2,Q86Y26-1, 0.870150184189
Q86UW9-1,P62166-1,-
Q56NI9-1,Q9NRD5-1, 0.899047732643
Q14749,E5RGB3, 0.682334409498
O60936-2,O60936-2,-
Q99895,Q99750, 0.928291732778
O43167-1,Q9BYR9, 0.873490088751
P62854,P32243-2, 0.803506034337
Q8N448,Q96CV9,-
P01037,Q12797-6, 0.686110969049
Q13976-2,O94989, 0.832707547212
Q14240-1,Q99750,-
Q6P1J9,Q9NRD5-1, 0.896855854105
P46736-1,O75971-2,-
P54253-1,B3KRD1, 0.779151679832
A8MV65-2,Q6L8G9, 0.823195695806
Q8TD31-1,Q86T90-1,-
Q16539-1,Q07352,-
Q9H2X0-1,ENSP00000462298.1, 0.906115757483
P54727-1,Q9UHD9, 0.918844488478
Q5TAB7-1,Q9BYU1, 0.881169797639
Q96CN9,Q8N6Y0-1,-
Q9H503-1,Q8WXU2-2, 0.737181508071
P21145-1,P09693, 0.723460575372
O75841,P48165, 0.690871887861
Q14119,C9J9W2, 0.782029382437
O15525,Q8IX15-1, 0.870545616975
Q13526,Q9H3D4-1, 0.871934048596
O95393,P26951-1,-
G3V1Q5,Q9H3U1-1, 0.82963056439
O43741-1,Q99081-3, 0.85621417672
Q96PU9-1,P63167, 0.884587705263
P11908-1,ENSP00000462298.1,-
O95159,Q8IUN9-1, 0.816598046696
Q86UY5-1,Q86UY5-1, 0.836982582718
Q92692-2,P60409,-
Q53FD0-2,P35609-1, 0.852333993183
Q8IV03,Q8N5M1, 0.819828548481
Q9UI47-1,Q9Y6H3, 0.826091692019
Q9BSW7,Q9Y3Q8-1,-
P62508-2,A0A088AWP1, 0.872962346587
Q8N5M9,Q9NZ01-1,-
P09234,Q16610-1, 0.784896562262
Q96HB5-1,Q13077-1,-
O43463-1,Q8N680, 0.87058228181
Q96A72,Q13137-1, 0.899396551946
P09917-1,A6NGQ2, 0.715723196421
Q6KB66-2,Q15323, 0.930934335218
P31943,Q8TDS5, 0.802373496722
P60520,Q86VP1-1, 0.876962400213
P27105-1,P50281, 0.658022927422
Q01844-1,Q93062-3,-
B8A4K4,P78385, 0.926919949835
Q69YG0,O95214-1, 0.674741724446
P61086-1,Q9C035-3, 0.85391076021
Q9BVG8-5,O75928-2, 0.789448972668
O15481,Q13503,-
Q7L2K0-2,Q7Z3S9-1,-
Q15027,O94868-3, 0.71498508802
O75830,Q9UMX0-1,-
Q6UW88-2,Q9H2K0,-
O14770-4,Q8IUC0, 0.862606041118
Q8TAE8,Q8NI38-1, 0.656712945362
P51687,Q96LZ2,-
Q8TED1,Q96DZ9-2, 0.664062899907
P30305-1,P61289-1, 0.867958916219
O75830,Q9UMX0-1,-
Q9H1K1-1,P0C7W6,-
Q9Y5L0-2,Q13555-5, 0.857767207154
P05787-1,Q15323, 0.927470745901
O00560-1,Q9UHC7-1, 0.796887385139
P28702-1,Q9NRD5-1, 0.903219645524
O43759-2,Q9HB07, 0.755711481417
Q6P597-1,Q6P2R3,-
Q9Y5Y2,Q0VD86-1, 0.657576556533
P10073,O14978, 0.861790975989
P08631-2,Q5T749, 0.817788261384
Q8TDT2,Q9H2L4, 0.713145563117
O14764,Q9UMX0-2,-
P0DP24,Q8NCR3-1,-
Q9UHX1-3,Q05519-2,-
Q969S9-1,Q8N9N5-2,-
O14964-1,Q53EZ4-1, 0.892650320485
Q7Z5P4-1,Q9BSR8, 0.726604631525
P61970,P62826,-
Q96Q77-1,ENSP00000445323.1, 0.738086085793
P36508-1,O95789-4,-
Q08708,Q9NRX6, 0.682796794478
P60409,Q6IV72,-
P29400-2,Q9NP94-1, 0.658295645571
S4R3B8,S4R3B8, 0.916203897366
Q9BYE3,Q8IUG1, 0.949029737282
Q7Z3K3-1,Q99471-1, 0.816893632864
Q6L8G9,ENSP00000462298.1,-
Q9NZD8-1,Q9HAV7, 0.811944455014
Q96JM7-2,Q96JM7-2, 0.909728719258
O00401,O15145,-
Q08117-2,O15409-2, 0.891641409826
Q8TEC5-1,Q8N9N5-2,-
Q13520,Q9NS69, 0.62139737473
P10619-1,Q9NR31-1, 0.680421088298
A0A0A0MTI2,Q9H1K6, 0.845047572792
Q96CS2-1,Q8IY31-3,-
Q96GF1-1,Q9BWQ6, 0.887997703268
Q02040-1,P78317-1, 0.903641670039
Q8IXK0-2,Q8IXK0-2,-
Q7Z6J4-1,Q58EX7-1, 0.835336717171
Q9UNK0,Q15125, 0.708476878452
Q8NA54-1,O00167-2, 0.774477652696
Q96ES7,Q9Y448-1, 0.911942256896
Q9NYB9-2,Q6TDU7-1, 0.800959619827
Q9NWS9-2,Q9H4T2,-
Q5TA82,P60371, 0.896929012526
Q6UX40-1,Q9NQQ7-1, 0.673104478634
P14373-1,Q5TAP6, 0.866197098124
Q9Y5W9-1,Q15041-1, 0.904950142333
Q8N9N5-2,Q96LM5, 0.805658229813
Q86VK4-3,Q9H2G9-1,-
O76003,P78412,-
Q00013-1,Q9UBK9, 0.755846403752
Q9UK22,Q6UX27-3, 0.688748092432
Q9UP95-1,Q9Y2T2, 0.762798389436
Q5QGT7,Q9H6H4-1, 0.68681463708
Q68CY6,Q9BZW7-1,-
Q96SQ5-1,Q9BYR9,-
Q9NWS9-2,Q9BRK4,-
E7EWC5,Q96BR9, 0.877831918373
Q5TA79,Q9BYQ3, 0.925949289743
P60709,P63261, 0.906104592201
Q8WV44-1,P15622-3, 0.918873885858
Q8N4L8-1,H0YB70, 0.806168571106
Q9NY61,O95751,-
Q9H9D4,Q8TF50, 0.874257923768
P68400-1,Q8IYX3-2, 0.743835916168
Q6NYC8-1,Q96KQ4, 0.827482932394
Q86YD7,P25791-1, 0.873878093141
A5D8V6,Q99961-1,-
Q9BUZ4-1,H0YDE2, 0.79235688648
O43889-2,Q96A57-1,-
Q00526,Q02548-1, 0.894193547377
Q5T7P3,Q8IUC1, 0.850707055278
Q5W111-2,Q15645-1,-
P27658,Q3LHN2, 0.774673999783
Q6DKK2,Q8IYA8-1, 0.872271093236
P17021-1,Q7Z4V0-1, 0.66115994967
Q14195-2,Q16555-1,-
Q96A72,Q9HBF4-1, 0.864672289559
P57105,Q5VYS4-1, 0.828766516559
Q13227-1,Q13625-2, 0.765306792666
Q13526,Q9NR12-1, 0.818017735653
P56748,P35372-1, 0.793017915844
Q02930-4,Q3LI72, 0.832380701849
P50222,Q92824-2,-
Q9UI47-1,Q93045-1, 0.707848547124
O15320-5,Q6PF05-1,-
P78358-1,Q9H0W8-1, 0.922605695246
Q13520,Q5QGT7, 0.664787591096
Q9P0W2-1,Q9BTA9-1, 0.853722040741
Q8WXB1-1,P50222, 0.908270397865
Q9H707,B8A4K4, 0.91101924015
Q86UD0,O75496, 0.893025556755
Q96GM5-1,Q7Z6G3-2, 0.893417282254
Q13643,P29597,-
Q16540,Q9BYR6, 0.817813144755
Q86WP2-1,Q9BVV2, 0.909125502061
Q96GN5-1,Q9Y2D8-2,-
Q92608-1,Q15323, 0.883799935113
P10619-1,Q96Q45-2, 0.86125378874
Q8NI38-1,Q92731-3, 0.656437789456
P51800-3,O76014, 0.85645860406
P57075-2,Q92764, 0.898963064841
P15622-3,Q9NQZ6-1,-
Q6PEX3,Q6PEX3,-
P25791-1,Q9NNX1-2,-
P60709,P60709,-
O60504-1,Q3SY00-1, 0.883028832984
P41182-1,Q8IUC0, 0.860907295195
Q05516-1,B2RXF5, 0.776702445898
Q8WW34-2,Q6PI48,-
O60336-1,P60410, 0.897180301782
R4GND3,P60410, 0.942689056545
P68400-1,P78356-1,-
Q96MY7-2,ENSP00000476265.1,-
Q9NV56,ENSP00000462298.1, 0.939352500231
Q8IUD6-1,ENSP00000476265.1, 0.891942969232
Q92835-2,Q8IUG1, 0.857870519541
Q9H0E2-1,Q3LI66, 0.897372573867
Q96QG7-1,Q0VD86-1, 0.698062454569
O14656-1,Q99750, 0.917207286463
O15169-1,P14373-1,-
O75865-2,O43281-2, 0.906044929145
Q9ULV0-3,P57735, 0.819460673996
P02489,ENSP00000482816.1, 0.928954534808
Q9BYE3,Q07627, 0.948210043507
Q8TER5-1,Q8NA61-2,-
Q7L5A3-1,Q9ULX6, 0.776991634618
Q96B26,Q96MY7-2, 0.876581111071
Q14973,Q9NZC3, 0.651665861629
Q13882-1,Q8N5R6-4,-
Q9Y247,Q8N998, 0.724878431256
P13236,Q7Z7N9, 0.720710448579
Q6UX98,Q9H8W4, 0.709071549518
Q9BYQ0,P26371, 0.94983234162
Q96EC8-1,Q99675,-
O95183,O00161-1,-
P25788-1,P60900-1, 0.892104714877
P79522-1,P61978-2, 0.930410611936
Q9H1M4,Q8WWH4-1, 0.796760154199
Q6PKX4,P26998, 0.842293507351
O75716,Q7Z3S9-1,-
Q9BPU6,Q16555-1,-
Q8IYB5-2,Q99471-1, 0.823640303501
ENSP00000391869.3,Q08AM6-1, 0.890385550188
P51687,Q2KHM9-1, 0.880315405136
Q15696,Q6BDI9, 0.778103972283
Q9NRQ5,Q8IUN9-1, 0.803980857646
Q9BWG6-1,Q86X02, 0.895949386628
Q6GPH6-2,Q9UMX0-1,-
P60370,Q9NWN3,-
Q92520,Q96BA8-1,-
Q6ZUT1-3,Q9H190-1,-
G3V5E1,P49639, 0.865366943903
O14817,Q99750, 0.915090148035
P27658,Q6RVD6-1, 0.689540338884
Q5J5C9,Q96NY8-1, 0.710644362755
Q96KR6,Q9P0B6,-
O14770-4,Q3LI67, 0.894493741932
P52597,Q9NR12-1, 0.899539188022
P49901,Q9BYQ3, 0.956330087894
O95619,Q8NFD2,-
P51668,Q9Y4L5, 0.925357204143
Q06587-1,Q3KNV8-1, 0.850658338544
Q9UK45,Q96D03, 0.947131370868
Q00526,ENSP00000492940.1, 0.810191638516
P57103-4,P48165, 0.672929182975
Q70IA8,Q8IUQ4-1,-
Q9BSJ6-1,O95273-1,-
O14964-1,Q99687-3, 0.69527068493
Q8TBB1-1,Q8WWB3-1, 0.883270138376
Q3B820-1,Q8N3L3,-
Q49AN0-1,Q8IUG1, 0.894824994348
Q9NWU8,Q93062-3,-
P60412,Q5TA77, 0.915437132955
Q92625-1,P56945-1, 0.89226801263
Q969V5,Q9BRK0-1, 0.745665725849
Q8WUK0-1,Q9BYR8, 0.822322561721
A5D8V6,Q96KN3-1, 0.926036593384
Q9Y5Z4-1,O75340-1, 0.921841847299
Q9BWG6-1,Q86VP1-1, 0.874540518454
O76013-2,P02538, 0.855434944427
P79522-1,O75525-1, 0.909549985527
P49747-1,Q7Z417-1, 0.898548730129
