Uniprot_A,Uniprot_B,author_score
Q9NU19,Q9NP66-1, 0.710578599198
P62851,O43829, 0.87483036457
O95214-1,Q9NY72,-
Q8N448,P06576,-
Q9UBB6-1,Q5JST6-1,-
Q96BZ8,Q92764, 0.890084920635
Q9H2A7,Q96BA8-1, 0.88577036342
Q3SXP7,Q8TDV0, 0.714239823793
P09619-1,Q15323, 0.881698261647
Q9BVC6,O14880, 0.65737463684
O75604-1,Q9NRD5-1, 0.89881266107
O75920-1,A1L3X0,-
Q6ZU52-1,P19012-1,-
Q8IW00-1,Q99750, 0.912701575891
ENSP00000452142.1,P60409, 0.886445422359
Q13323,Q9UHX3-1, 0.781302726542
P11926,Q9UMX2-2, 0.908717120118
A0A087WWI0,Q13637, 0.773635780022
Q495Y8-2,Q92624, 0.876896302095
O94817-1,O43186,-
P47897-1,Q04864-2, 0.897415331277
Q8IWU4-2,Q9Y282-1,-
P25791-1,Q9UPY8-1,-
H7C4R2,Q96MY7-2, 0.858300228694
Q5VVQ6-1,Q15038-1,-
O43865-1,Q9UHI7, 0.900599497898
Q8N8B7-1,Q9BVG8-5,-
P24593,Q8WZ55, 0.671308017279
Q86W74-2,Q5JX71, 0.691954129513
Q9BY27,Q7Z6G3-2, 0.912287156423
P26367-1,Q9UI47-1, 0.893306046138
Q96AB6,P50222, 0.907525495657
Q96K17-1,Q8N3L3,-
Q9Y216-1,Q96QG7-1,-
P51687,P40855-1, 0.785686285674
Q8WV44-1,P60410, 0.881260207573
Q86WC6,P62140, 0.844369207507
Q96GX9-1,Q96GX9-1,-
Q9BWH2,P27105-1, 0.664138909613
Q9BVN2-2,Q8NFV4-4, 0.788652124598
O95999,Q12933-1,-
Q8IUQ4-2,P86496, 0.902101519321
O00560-1,Q9BYV2-1,-
O75031-1,Q96HB5-1, 0.902339848636
Q9Y6W6-1,Q9BYR7, 0.787310212787
Q96CS2-1,Q9Y3C0,-
Q13433-2,Q3KNW5, 0.634594575925
Q9BUJ2-4,Q8NDC0,-
P60410,O76003, 0.927934825511
Q9H115-1,O95377, 0.672591723029
Q8NBD8,P57054-2,-
Q63HR2-5,Q8TAU3-1, 0.868206070226
Q9BT92,Q9UDW3,-
O43167-1,Q9UJV3-2, 0.887586693172
P07947,Q9Y4K3, 0.889626872665
O75146-1,Q9UBB9-1, 0.893033438401
P61964,Q2QGD7-1, 0.905895765933
Q6L8H2,Q9BYQ3, 0.902405628274
I3L0A0,Q9Y320-1, 0.653314174749
O95379-1,Q8NBZ0-1,-
Q5T619,A1L4K1-1, 0.875266264475
Q5SQN1-4,ENSP00000476265.1,-
Q15915,P60410, 0.889115191583
Q8N6F1-2,Q8N386, 0.70123063151
Q9NX63,Q86Y26-1, 0.852633474178
Q8WV44-1,Q96BR9,-
P26640-1,Q13554-3,-
Q96IK5,P0CL80-1,-
Q9Y5U9,Q96Q45-2, 0.900242341729
Q9H0U9,Q99750, 0.919927362567
P61019-1,ENSP00000476265.1,-
Q8N5I4,Q96DZ9-2, 0.677787747329
P48730-1,O75382-1, 0.85920223741
Q96HC4-1,H7C4R2,-
Q86V42-3,Q8NHQ1-1,-
P55771,P25791-1, 0.821973916538
Q9Y6W3,Q13099-2, 0.865562707212
A0A087WY89,Q9BYE3, 0.916207337983
C9J2R4,Q9BQY4,-
Q6RVD6-1,O15162-1,-
Q9NQB0-6,Q86WV8, 0.816798205312
Q9H0W8-1,P36406-1, 0.901828349559
B4DDN1,Q86UW9-1,-
Q9H310,Q3LHN2,-
O75841,P26715-1, 0.842370138931
Q6P1W5-2,Q9UHD9, 0.907396578408
Q9H0L4,O14964-1,-
Q8TBB1-1,Q9BXJ1-1,-
Q7Z3C6-3,Q3LI66, 0.86628867265
O75800-1,Q5JR59-3, 0.88714799738
P17482,Q8ND90, 0.896180552108
P60201-2,Q96TC7-1,-
Q9UHI7,Q9BYQ3, 0.917429611345
ENSP00000426769.1,Q99750,-
Q8NHS9-1,O75031-1, 0.945445095565
O15160-1,Q13064, 0.902850698738
Q8TD31-1,Q8IZP0-5, 0.899144806577
P11441,P50222,-
Q96FW1-1,Q9Y2X8, 0.848425843094
Q5VWP2,Q15038-1,-
Q69YI7-1,Q3KNR5, 0.705756913771
P09601,Q8NEW7, 0.688975955379
P07098-1,P50222, 0.89901481744
Q9UEU0-1,P54829-1,-
Q8WY98-1,Q14973, 0.651665861629
A8K8V0-1,Q8NHQ1-1, 0.905110572967
Q96FA3,Q15645-1,-
Q5T681,P26371,-
P40222,Q6NUQ1,-
Q96HH6-1,Q9NUH8-1, 0.700076450745
O14994,Q96LT7-1, 0.873625960764
Q96AH0-1,Q96QR8, 0.868675141195
B8A4K4,P49901, 0.958801141678
Q8NFF5-2,Q9UNS2-1, 0.739051352617
Q9BRI3-1,Q8TBP5, 0.675540259022
O76076-1,P49639,-
