Uniprot_A	Uniprot_B
P05412	Q96EB6
P05412	Q9H0D6
P05412	Q16352
P05412	P46777
P05412	P27797
P05412	P78406
P05412	P62304
P05412	Q9UNY4
P05412	P62333
P05412	Q9NWB6
P05412	P34932
P05412	P46013
P05412	P35659
P05412	P11586
P05412	P47914
P05412	P63151
P05412	P25789
P05412	P60709
P05412	Q6DKI1
P05412	Q6UB35
P05412	Q06587
P05412	Q9BZJ0
P05412	Q92769
P05412	P47756
P05412	Q969G3
P05412	O00178
P05412	P00403
P05412	O43865
P05412	P38919
P05412	P52292
P05412	Q14152
P05412	Q13601
P05412	Q14839
P05412	Q02078
P05412	Q96GM5
P05412	Q12905
P05412	O75934
P05412	P46060
P05412	P22087
P05412	Q9NS69
P05412	Q15008
P05412	Q8N1G4
P05412	Q92688
P05412	O15042
P05412	Q15061
P05412	E9PMU7
P05412	O75694
P05412	P40939
P05412	Q13098
P05412	P21912
P05412	P26599
P05412	P26640
P05412	Q00325
P05412	P14618
P05412	Q96KR1
P05412	Q9P2J5
P05412	Q9C0C9
P05412	Q8NEZ5
P05412	O96019
P05412	P11387
P05412	P63173
P05412	P78346
P05412	Q13547
P05412	Q32P51
P05412	P32969
P05412	P08865
P05412	O60641
P05412	Q14690
P05412	P06493
P05412	P49411
P05412	O43242
P05412	P05386
P05412	O43684
P05412	P49959
P05412	P15880
P05412	Q08209
P05412	Q14126
P05412	P13639
P05412	P62937
P05412	Q02539
P05412	Q9Y262
P05412	P07814
P05412	P78371
P05412	Q15424
P05412	P35998
P05412	Q14684
P05412	P46783
P05412	Q8IX18
P05412	Q96QV6
P05412	O60812
P05412	P25205
P05412	Q12800
P05412	P17535
P05412	O60506
P05412	P38398
P05412	Q12968
P05412	P60891
P05412	Q96EP5
P05412	Q9NTK5
P05412	O00567
P05412	Q8N954
P05412	Q9Y3T9
P05412	P16220
P05412	O43148
P05412	Q86YP4
P05412	P07900
P05412	Q92499
P05412	P36543
P05412	P27816
P05412	Q15637
P05412	O00203
P05412	Q9H4B7
P05412	P12270
P05412	Q8WWK9
P05412	Q8N2I9
P05412	Q96JM3
P05412	P33778
P05412	P62191
P05412	Q9BT78
P05412	P49792
P05412	Q9Y2X3
P05412	Q69YN4
P05412	Q58FF7
P05412	Q9BRJ7
P05412	Q9BQ67
P05412	P31942
P05412	Q15554
P05412	Q13330
P05412	P32119
P05412	P38606
P05412	Q07021
P05412	Q8WYK2
P05412	P09651
P05412	Q9Y6V7
P05412	P39019
P05412	O75330
P05412	P62136
P05412	Q13642
P05412	P67775
P05412	P62140
P05412	Q92598
P05412	Q15796
P05412	Q15365
P05412	P60842
P05412	Q15287
P05412	Q92878
P05412	Q96GD4
P05412	P61962
P05412	O95644
P05412	Q15428
P05412	P14635
P05412	P62826
P05412	P22314
P05412	P18124
P05412	Q8NC51
P05412	Q14008
P05412	P08708
P05412	Q00059
P05412	O43175
P05412	O75367
P05412	Q9H082
P05412	Q16527
P05412	P49915
P05412	P62081
P05412	P62195
P05412	O43395
P05412	Q9NW64
P05412	P19784
P05412	P52907
P05412	P12236
P05412	O43660
P05412	O60343
P05412	Q07666
P05412	Q13111
P05412	Q96I25
P05412	Q15084
P05412	P04908
P05412	P51531
P05412	P51571
P05412	P42167
P05412	P27694
P05412	Q13428
P05412	P62750
P05412	Q99714
P05412	P35625
P05412	Q96A08
P05412	P01876
P05412	Q13112
P05412	Q92979
P05412	P41219
P05412	P30048
P05412	P00492
P05412	Q15397
P05412	P07437
P05412	P54136
P05412	P15408
P05412	Q13185
P05412	Q9ULX9
P05412	Q12874
P05412	P46781
P05412	P62913
P05412	Q9BY77
P05412	P17980
P05412	Q712K3
P05412	P36578
P05412	Q15029
P05412	A6NKT7
P05412	Q9H5V9
P05412	O60256
P05412	Q13867
P05412	Q92905
P05412	Q12857
P05412	Q8N5C6
P05412	P13489
P05412	O75489
P05412	O00148
P05412	Q7L5N1
P05412	Q9H9B4
P05412	P08243
P05412	Q9BQ61
P05412	P28370
P05412	P48730
P05412	O15213
P05412	Q9UPN6
P05412	Q13435
P05412	Q8N3X1
P05412	P11182
P05412	O60341
P05412	P49674
P05412	P39687
P05412	P39023
P05412	Q01105
P05412	P39656
P05412	P62917
P05412	O43172
P05412	P51608
P05412	H7BZF0
P05412	P62277
P05412	Q9BYX7
P05412	Q9BZI7
P05412	Q15393
P05412	O15355
P05412	Q9NY61
P05412	O00232
P05412	Q8IWZ3
P05412	P23528
P05412	P45880
P05412	P04350
P05412	O43143
P05412	P42166
P05412	Q16531
P05412	Q1KMD3
P05412	Q14331
P05412	Q14978
P05412	P49368
P05412	Q9BUQ8
P05412	Q9UI36
P05412	Q8WXF1
P05412	O60885
P05412	P63000
P05412	P33992
P05412	P54886
P05412	P49419
P05412	Q07020
P05412	P49756
P05412	Q16576
P05412	P26196
P05412	P13010
P05412	P13804
P05412	Q99728
P05412	P30153
P05412	P08670
P05412	Q6P587
P05412	P34897
P05412	P60981
P05412	P68400
P05412	P30050
P05412	Q15007
P05412	P12235
P05412	P61964
P05412	P36957
P05412	Q9NYK5
P05412	Q99729
P05412	P22695
P05412	P84103
P05412	P45973
P05412	P14678
P05412	Q14966
P05412	P27695
P05412	P84098
P05412	Q13470
P05412	P04843
P05412	Q15366
P05412	Q9Y3Y2
P05412	P22102
P05412	Q00839
P05412	Q8NFW8
P05412	intact:EBI-11323206
P05412	Q96DI7
P05412	P11177
P05412	Q86XK2
P05412	C9JDE9
P05412	Q6P1J9
P05412	Q58FF8
P05412	Q99459
P05412	P29692
P05412	P00390
P05412	Q969X6
P05412	Q92797
P05412	Q9Y4X5
P05412	Q13948
P05412	P62899
P05412	P49916
P05412	Q8IYB1
P05412	Q9P0M6
P05412	O14974
P05412	P12004
P05412	P15336
P05412	Q96E39
P05412	P51532
P05412	Q14676
P05412	P62266
P05412	P83731
P05412	Q86V81
P05412	Q15233
P05412	P78559
P05412	Q08211
P05412	Q92616
P05412	O00231
P05412	P04406
P05412	P98175
P05412	Q7Z6E9
P05412	P62987
P05412	P50990
P05412	P12956
P05412	P25705
P05412	Q9ULV4
P05412	Q8NBS9
P05412	Q9BYC8
P05412	P55081
P05412	Q9UHX1
P05412	P38646
P05412	P04844
P05412	Q9Y2V7
P05412	Q9UNS2
P05412	P11142
P05412	Q8WYA6
P05412	Q9HCC0
P05412	Q13885
P05412	Q5T280
P05412	Q99832
P05412	Q9UFW8
P05412	Q5T440
P05412	Q9Y230
P05412	Q5VT52
P05412	P19338
P05412	Q5MNZ6
P05412	O14757
P05412	O75400
P05412	P26373
P05412	Q9H0S4
P05412	P52272
P05412	O00487
P05412	Q15019
P05412	P19387
P05412	Q6UN15
P05412	P41252
P05412	Q06830
P05412	Q9BXS6
P05412	Q92552
P05412	O15226
P05412	P63244
P05412	Q9Y224
P05412	Q02930
P05412	Q99460
P05412	Q7L3T8
P05412	Q9UM13
P05412	P62807
P05412	Q01844
P05412	Q9HB71
P05412	Q9Y3B4
P05412	P05141
P05412	Q09028
P05412	O75533
P05412	Q13643
P05412	Q07955
P05412	P14735
P05412	Q9H7B2
P05412	P62906
P05412	Q9NSD9
P05412	Q16643
P05412	P06748
P05412	P11021
P05412	Q9P258
P05412	P46063
P05412	Q86W42
P05412	P20671
P05412	Q6P087
P05412	Q12931
P05412	Q9Y4L1
P05412	P06576
P05412	P05412
P05412	Q96T17
P05412	Q12872
P05412	Q14103
P05412	P12277
P05412	Q9UPN9
P05412	O95831
P05412	Q9NV06
P05412	P62314
P05412	Q92841
P05412	Q9BZL4
P05412	Q9BYG3
P05412	Q13619
P05412	O75348
P05412	O14981
P05412	Q9NYZ3
P05412	Q86UP2
P05412	Q13123
P05412	P16403
P05412	Q12851
P05412	O60841
P05412	P53007
P05412	Q8N163
P05412	P51991
P05412	Q9P013
P05412	Q9NPF5
P05412	Q9UJV9
P05412	P52292
P05412	P20700
P05412	P61626
P05412	Q9BQ75
P05412	Q9NR30
P05412	Q6P6C2
P05412	B9A064
P05412	P68104
P05412	Q15758
P05412	P18846
P05412	P14866
P05412	P49454
P05412	P23381
P05412	P43243
P05412	Q9Y5B6
P05412	Q09161
P05412	P12268
P05412	P06733
P05412	P35453
P05412	Q9UDY4
P05412	O43913
P05412	P41250
P05412	Q14669
P05412	Q8NDD1
P05412	P82912
P05412	P62847
P05412	P07910
P05412	P26358
P05412	P48556
P05412	P55795
P05412	P17482
P05412	P63096
P05412	P23396
P05412	P04181
P05412	Q92945
P05412	Q9NX74
P05412	Q13573
P05412	O14980
P05412	P05090
P05412	P46776
P05412	P62280
P05412	Q6BDS2
P05412	P51649
P05412	P62736
P05412	Q9Y2R9
P05412	Q9UBU9
P05412	P17844
P05412	Q14498
P05412	P49755
P05412	P08238
P05412	P26639
P05412	P36873
P05412	Q9Y265
P05412	P62249
P05412	Q8TED0
P05412	Q9Y314
P05412	Q9H8H0
P05412	Q9UKA9
P05412	P31040
P05412	Q6DN03
P05412	P46821
P05412	Q9BVJ6
P05412	P09211
P05412	O14983
P05412	P08107
P05412	A6ND91
P05412	Q9UMS4
P05412	Q9NQS7
P05412	P18754
P05412	Q6XD76
P05412	Q15059
P05412	Q9UKM9
P05412	P38159
P05412	P11388
P05412	P22626
P05412	O43670
P05412	P37108
P05412	Q9NP55
P05412	P61978
P05412	P42898
P05412	P68366
P05412	Q08945
P05412	Q13148
P05412	Q9Y295
P05412	O00217
P05412	Q12873
P05412	P68363
P05412	Q96HU8
P05412	Q8NI27
P05412	Q9H2P0
P05412	O75140
P05412	P01112
P05412	P17544
P05412	P10809
P05412	P52597
P05412	P56545
P05412	Q15459
P05412	P35268
P05412	P84077
P05412	P34931
P05412	Q8WX92
P05412	O75643
P05412	Q9H583
P05412	P62851
P05412	P02545
P05412	O14965
P05412	P39880
P05412	P62805
P05412	Q8WXX5
P05412	Q9ULW0
P05412	Q99873
P05412	P55265
P05412	Q9HC52
P05412	Q9Y3B9
P05412	O14497
P05412	P12814
P05412	Q9GZZ1
P05412	Q68DL7
P05412	P00338
P05412	Q8IWS0
P05412	Q03252
P05412	Q9H2U1
P05412	Q14683
P05412	P07355
P05412	O76021
P05412	Q93034
P05412	P29372
P05412	Q05519
P05412	Q6P2Q9
P05412	Q5JTH9
P05412	Q86U38
P05412	Q15269
P05412	P18847
P05412	P31943
P05412	Q13242
P05412	Q9NS91
P05412	Q9NV79
P05412	P62701
P05412	P41223
P05412	Q7Z4Q2
P05412	Q9NQH7
P05412	Q99986
P05412	P61201
P05412	P30041
P05412	P62269
P05412	P35221
P05412	Q8IV63
P05412	P54652
P05412	Q99623
P05412	P09874
P05412	P26641
P05412	P23284
P05412	P34896
P05412	P25440
P05412	Q9NYV4
P05412	O00442
P05412	Q07065
P05412	P35030
P05412	P55209
P05412	Q58FG0
P05412	P21281
P05412	Q9Y2P8
P05412	Q71U36
P05412	Q9UKL0
P05412	Q5UIP0
P05412	P25685
P05412	Q13561
P05412	P62244
P05412	Q96PK6
P05412	P78527
P05412	Q96AG4
P05412	Q8N1G0
P05412	P78347
P05412	Q92610
P05412	P22061
P05412	P50914
P05412	Q9BYB4
P05412	O75607
P05412	P51610
P05412	P09661
P05412	Q9BVG4
P05412	P49327
P05412	Q96DE0
P05412	Q71UI9
P05412	P23246
P05412	P27824
P05412	Q02543
P05412	Q02878
P05412	P62263
P05412	Q9UPS8
P05412	O00425
P05412	Q9Y2W2
P05412	Q12906
P05412	P62820
P05412	O75152
P05412	P46087
P05412	P42766
P05412	P17275
P05412	P24534
P05412	Q69YQ0
P05412	P53350
P05412	Q9UNX3
P05412	Q9UBW8
P05412	Q13200
P05412	Q9H672
P05412	Q12824
P05412	P17066
P05412	P17661
P05412	P53539
P05412	Q8TAQ2
P05412	Q13509
P05412	P09923
P05412	P61247
P05412	P36776
P05412	Q6ZRS2
P05412	Q02880
P05412	Q9Y3I0
P05412	P14625
P05412	Q14974
P05412	Q13162
P05412	Q29RF7
P05412	P62857
P05412	Q9P0L0
P05412	P67870
P05412	Q14103
P05412	P13489
P05412	Q9BVC6
P05412	Q6DKI1
P05412	Q07666
P05412	Q13310
P05412	P26196
P05412	Q96MG8
P05412	P82675
P05412	Q14444
P05412	P07197
P05412	O75400
P05412	Q6P2Q9
P05412	P23381
P05412	P22695
P05412	O00217
P05412	Q9BYD6
P05412	Q9BQ04
P05412	Q15459
P05412	Q9NVH0
P05412	O43414
P05412	Q9H5H4
P05412	Q12789
P05412	P82650
P05412	P07910
P05412	P62081
P05412	P78371
P05412	P27816
P05412	O43684
P05412	P05198
P05412	O75934
P05412	O60231
P05412	Q9BU76
P05412	P63241
P05412	P62263
P05412	O43776
P05412	Q6P1Q0
P05412	C9JDE9
P05412	Q16795
P05412	Q9NVX2
P05412	Q96AG4
P05412	Q14008
P05412	O14744
P05412	Q8NE71
P05412	O95819
P05412	O75817
P05412	O15397
P05412	Q7KZF4
P05412	Q9UJV9
P05412	Q8WX92
P05412	P30419
P05412	P62241
P05412	P39019
P05412	P35637
P05412	O75533
P05412	Q8IWZ3
P05412	P62318
P05412	P60228
P05412	Q9Y291
P05412	Q13765
P05412	P63244
P05412	P55072
P05412	Q9BY77
P05412	Q14157
P05412	Q96KR1
P05412	P21796
P05412	P51610
P05412	Q13200
P05412	P11387
P05412	P43246
P05412	P35250
P05412	Q96EB6
P05412	P36542
P05412	P51991
P05412	Q9NZI8
P05412	P62906
P05412	Q14258
P05412	P30050
P05412	P82930
P05412	P78346
P05412	Q9Y4P3
P05412	Q8NC51
P05412	A4FU49
P05412	Q9UPN6
P05412	Q71RC2
P05412	P62829
P05412	P27797
P05412	Q96HS1
P05412	P55786
P05412	Q13148
P05412	P32119
P05412	P62140
P05412	P62195
P05412	P61081
P05412	O00411
P05412	H0YAA0
P05412	Q8NI36
P05412	P17544
P05412	P62995
P05412	P18621
P05412	P62424
P05412	P19105
P05412	P61254
P05412	O75746
P05412	Q9P2E9
P05412	Q9Y230
P05412	Q15796
P05412	Q15370
P05412	P83731
P05412	Q15758
P05412	P14866
P05412	P60709
P05412	P78559
P05412	P67809
P05412	Q8IZH2
P05412	P41219
P05412	P54652
P05412	P40939
P05412	Q9Y383
P05412	P09651
P05412	P52292
P05412	P29692
P05412	P34896
P05412	P82933
P05412	Q92845
P05412	P50990
P05412	P35251
P05412	P37837
P05412	P05387
P05412	Q9H089
P05412	Q9UN86
P05412	Q9HCE1
P05412	P23246
P05412	Q9H9B4
P05412	O00571
P05412	Q07020
P05412	P20042
P05412	Q9Y265
P05412	Q86UP2
P05412	Q16629
P05412	P18077
P05412	P78347
P05412	Q06265
P05412	P62913
P05412	Q14011
P05412	P50552
P05412	P04844
P05412	Q7Z406
P05412	P62314
P05412	O95292
P05412	Q9UEY8
P05412	Q9Y399
P05412	P07437
P05412	Q71U36
P05412	P12268
P05412	P06733
P05412	P82914
P05412	Q7L2E3
P05412	P30566
P05412	P47897
P05412	Q01130
P05412	P52565
P05412	O43837
P05412	Q16186
P05412	Q8IYB1
P05412	O14818
P05412	O00330
P05412	Q13155
P05412	P49916
P05412	P61978
P05412	P62750
P05412	Q8WWK9
P05412	P35030
P05412	P11940
P05412	Q08379
P05412	Q92665
P05412	Q15050
P05412	Q9NR30
P05412	H7BZJ3
P05412	Q96SB4
P05412	P0C7P4
P05412	Q9H2W6
P05412	P55209
P05412	P46781
P05412	Q8N5C6
P05412	Q1KMD3
P05412	Q8TEQ6
P05412	P42704
P05412	Q86V81
P05412	Q9NQ55
P05412	P55010
P05412	O00541
P05412	Q00610
P05412	P06748
P05412	Q8WU90
P05412	P17987
P05412	Q7Z5H4
P05412	P56192
P05412	P56556
P05412	O75694
P05412	P60520
P05412	P16615
P05412	Q8WVM0
P05412	Q9NVH6
P05412	P12956
P05412	Q9NVI7
P05412	P22102
P05412	P46063
P05412	O60506
P05412	Q71UM5
P05412	Q9Y536
P05412	Q12904
P05412	P27348
P05412	Q9HD23
P05412	Q04637
P05412	P12235
P05412	P30837
P05412	P26641
P05412	P54840
P05412	O95782
P05412	Q9NQ29
P05412	Q9NP81
P05412	Q3MHD2
P05412	O00487
P05412	O95831
P05412	Q9NYV4
P05412	Q15233
P05412	Q92616
P05412	P68104
P05412	E9PRG8
P05412	Q05682
P05412	P04908
P05412	P14678
P05412	P36957
P05412	P26373
P05412	P41091
P05412	P04075
P05412	Q13011
P05412	P62899
P05412	Q9UG63
P05412	Q96GQ7
P05412	P14314
P05412	P22061
P05412	O60942
P05412	Q12905
P05412	P49327
P05412	Q9UM54
P05412	Q13895
P05412	P07737
P05412	Q14568
P05412	O60762
P05412	P17844
P05412	P62495
P05412	P09493
P05412	Q5T653
P05412	P05412
P05412	O60678
P05412	P62280
P05412	Q96FX7
P05412	P25205
P05412	P04004
P05412	P35232
P05412	Q9P2N5
P05412	Q9Y2T2
P05412	Q9Y5Q8
P05412	P32322
P05412	O60641
P05412	P13639
P05412	P50995
P05412	Q86U38
P05412	Q9UNM6
P05412	Q92900
P05412	O43290
P05412	P46109
P05412	Q02930
P05412	P19388
P05412	O00178
P05412	P08574
P05412	Q9NQH7
P05412	Q9NYZ3
P05412	Q9UII4
P05412	Q9Y2R9
P05412	P04080
P05412	P61513
P05412	Q9BRX2
P05412	P11310
P05412	Q01518
P05412	Q99613
P05412	O60812
P05412	Q96FN4
P05412	Q15366
P05412	P40937
P05412	Q16543
P05412	P13796
P05412	O43347
P05412	O94874
P05412	Q00013
P05412	P60891
P05412	O95470
P05412	P51571
P05412	Q08211
P05412	Q9NWB6
P05412	Q13242
P05412	Q969S9
P05412	P55196
P05412	Q9BW19
P05412	Q8NCM8
P05412	P06576
P05412	P26368
P05412	P15313
P05412	Q99459
P05412	Q16650
P05412	O75494
P05412	O15042
P05412	P16989
P05412	Q14558
P05412	Q9UBS0
P05412	P26599
P05412	Q96CU9
P05412	P78527
P05412	P20618
P05412	Q9NQ50
P05412	Q9BQ75
P05412	Q96PK6
P05412	Q15942
P05412	Q12906
P05412	Q00577
P05412	P09923
P05412	Q13586
P05412	P32969
P05412	Q99623
P05412	Q9NRN7
P05412	O94905
P05412	P54136
P05412	P21912
P05412	Q9UM00
P05412	Q6UXN9
P05412	O00425
P05412	Q99848
P05412	Q9UKA9
P05412	Q9HAU5
P05412	Q9BV38
P05412	Q9NV79
P05412	Q9H4B7
P05412	Q8WXX5
P05412	P24534
P05412	O75323
P05412	O43143
P05412	Q16352
P05412	P51398
P05412	O75330
P05412	Q00839
P05412	Q52LJ0
P05412	P62266
P05412	Q9UMS4
P05412	P31942
P05412	Q9BRJ6
P05412	P17535
P05412	Q9H0D6
P05412	Q96QV6
P05412	O75439
P05412	P23284
P05412	P54819
P05412	Q5JSZ5
P05412	Q15393
P05412	P12532
P05412	P62807
P05412	Q9BVI4
P05412	P15336
P05412	P35611
P05412	Q12800
P05412	P08107
P05412	P13861
P05412	Q58FG0
P05412	Q9Y6V7
P05412	Q96S59
P05412	P52597
P05412	P49755
P05412	Q8IYB5
P05412	P31946
P05412	O15269
P05412	Q4VCS5
P05412	O00303
P05412	O15355
P05412	O43172
P05412	P08621
P05412	P63104
P05412	P52272
P05412	P48729
P05412	P16152
P05412	Q9H2U1
P05412	P61026
P05412	P56182
P05412	P53680
P05412	Q6BDS2
P05412	Q9Y2S7
P05412	P17066
P05412	P36969
P05412	Q99729
P05412	Q15436
P05412	Q9BYJ9
P05412	Q99735
P05412	Q15019
P05412	P38159
P05412	P51665
P05412	Q02978
P05412	P49207
P05412	Q86VP6
P05412	Q9Y2X3
P05412	Q14498
P05412	O14654
P05412	P42167
P05412	Q13509
P05412	P30101
P05412	P23528
P05412	Q16630
P05412	P62851
P05412	Q9P2J5
P05412	P04279
P05412	Q5MNZ6
P05412	Q15365
P05412	P06744
P05412	Q08170
P05412	Q9Y224
P05412	P36873
P05412	P28482
P05412	P14625
P05412	Q12931
P05412	P68036
P05412	Q16891
P05412	P26639
P05412	P60953
P05412	Q9H814
P05412	P83881
P05412	Q13409
P05412	P08708
P05412	P48643
P05412	P55084
P05412	P17980
P05412	P27694
P05412	P55265
P05412	Q06787
P05412	P62854
P05412	O75477
P05412	Q96DV4
P05412	O43809
P05412	P07305
P05412	P22234
P05412	P57678
P05412	Q96H79
P05412	P35749
P05412	Q9Y262
P05412	P48735
P05412	P46782
P05412	Q92552
P05412	Q96HY6
P05412	Q9UJA5
P05412	Q9HC21
P05412	P09211
P05412	O43813
P05412	Q9Y6M1
P05412	P62826
P05412	Q7Z2T5
P05412	P61313
P05412	Q9Y4L1
P05412	P84098
P05412	P50454
P05412	Q9UNH7
P05412	Q92522
P05412	P30048
P05412	Q8IY81
P05412	P09622
P05412	P28288
P05412	Q7L014
P05412	P63151
P05412	Q9BSJ2
P05412	Q99873
P05412	P31948
P05412	Q9UNQ2
P05412	Q00325
P05412	P84077
P05412	Q12840
P05412	Q9NVV4
P05412	P08195
P05412	P62937
P05412	Q9Y5M8
P05412	P50395
P05412	A6NHR9
P05412	Q13283
P05412	P28070
P05412	Q12874
P05412	P52907
P05412	P28074
P05412	Q9UNL2
P05412	P05141
P05412	P49720
P05412	P61353
P05412	Q8N1G4
P05412	Q9NW13
P05412	Q9UPN9
P05412	Q13112
P05412	Q96EY1
P05412	Q9BQ39
P05412	Q9NR50
P05412	Q01780
P05412	O00232
P05412	P78362
P05412	A5YKK6
P05412	Q07021
P05412	Q8WVM8
P05412	Q2NL82
P05412	Q9Y5A9
P05412	P04350
P05412	O43242
P05412	P33778
P05412	P49915
P05412	O43847
P05412	Q9H7B2
P05412	O95347
P05412	Q5T9A4
P05412	Q00341
P05412	P22626
P05412	Q9UM54
P05412	P40616
P05412	P04637
P05412	Q9UGI8
P05412	P00390
P05412	P54886
P05412	O60524
P05412	Q9Y2Z4
P05412	O14983
P05412	Q96B26
P05412	Q92945
P05412	P68400
P05412	Q9BW92
P05412	P34932
P05412	Q02543
P05412	Q8N684
P05412	P14635
P05412	P62805
P05412	Q9P0L0
P05412	O95202
P05412	P14618
P05412	Q14152
P05412	Q15029
P05412	Q7L2H7
P05412	P63173
P05412	P26358
P05412	P05023
P05412	Q5FYB0
P05412	P35268
P05412	O60832
P05412	P18669
P05412	Q96P70
P05412	Q15046
P05412	O00159
P05412	Q8WYA6
P05412	P53621
P05412	Q15427
P05412	P60842
P05412	Q9NVP1
P05412	P62888
P05412	O95757
P05412	P25789
P05412	O43324
P05412	Q14197
P05412	Q8NBS9
P05412	O43670
P05412	O00231
P05412	P15880
P05412	Q2TAY7
P05412	P61960
P05412	Q13330
P05412	O75643
P05412	Q9BUF5
P05412	P62258
P05412	Q9ULV4
P05412	P13804
P05412	Q92615
P05412	P50914
P05412	P43686
P05412	Q13885
P05412	E9PMU7
P05412	Q9Y3F4
P05412	P46778
P05412	P49411
P05412	P08579
P05412	Q9BZE4
P05412	Q8N752
P05412	P55795
P05412	Q99575
P05412	P02786
P05412	P68363
P05412	P49736
P05412	P62736
P05412	Q9Y295
P05412	Q15120
P05412	Q13868
P05412	P53618
P05412	O43390
P05412	P05091
P05412	Q14669
P05412	Q9BRP8
P05412	P49419
P05412	Q9Y613
P05412	P30153
P05412	P62277
P05412	P16403
P05412	Q6PIW4
P05412	Q96B23
P05412	Q7Z4Q2
P05412	P62333
P05412	P42766
P05412	P40926
P05412	P67870
P05412	P10155
P05412	Q53GS9
P05412	Q96I25
P05412	P00367
P05412	P38919
P05412	Q9UHX1
P05412	Q7Z2W4
P05412	Q13643
P05412	Q9NYK5
P05412	P41250
P05412	P33993
P05412	D6RBZ0
P05412	P62249
P05412	Q9BWU0
P05412	P30041
P05412	Q13045
P05412	P12004
P05412	O95163
P05412	Q6PKG0
P05412	O00139
P05412	P68366
P05412	O95166
P05412	P00492
P05412	Q9NY93
P05412	P61247
P05412	P27635
P05412	Q92979
P05412	P07900
P05412	Q9HCM4
P05412	Q9UNF1
P05412	P25685
P05412	A2RTX5
P05412	P59998
P05412	O00567
P05412	Q9NWU5
P05412	P42285
P05412	P07195
P05412	P48047
P05412	Q8NBQ5
P05412	Q8NHW5
P05412	O60841
P05412	Q9UQ80
P05412	P39023
P05412	Q13151
P05412	Q9BUQ8
P05412	P62861
P05412	Q9BRX9
P05412	P26640
P05412	O75489
P05412	Q9UBB9
P05412	Q9H9A6
P05412	Q58WW2
P05412	P62269
P05412	Q96P11
P05412	P09661
P05412	P11172
P05412	P43487
P05412	P08238
P05412	P62857
P05412	P00558
P05412	P40429
P05412	Q15717
P05412	Q9NS91
P05412	P18124
P05412	Q9HAV7
P05412	Q13557
P05412	Q14318
P05412	P47756
P05412	P21333
P05412	Q9H6S0
P05412	Q9P035
P05412	P08865
P05412	O75165
P05412	Q6P1J9
P05412	O43865
P05412	Q3KQU3
P05412	O00148
P05412	P00918
P05412	P18031
P05412	O60783
P05412	Q9H0C8
P05412	Q13573
P05412	P45880
P05412	P22314
P05412	Q14331
P05412	Q16527
P05412	Q9NQ39
P05412	P31150
P05412	P60900
P05412	P46776
P05412	Q9BYD3
P05412	Q13596
P05412	Q16695
P05412	Q9UHI6
P05412	Q9NYB0
P05412	P05455
P05412	P14868
P05412	P62987
P05412	Q13126
P05412	P60866
P05412	Q01844
P05412	P10515
P05412	Q9BYB4
P05412	P31040
P05412	Q6P087
P05412	Q07065
P05412	P61964
P05412	Q06210
P05412	O14776
P05412	Q8TDN6
P05412	Q96P47
P05412	Q96EP5
P05412	Q15269
P05412	P23396
P05412	Q15024
P05412	P34931
P05412	Q13561
P05412	Q9BQG0
P05412	O00299
P05412	Q9BQ67
P05412	P53007
P05412	Q15008
P05412	Q8NCA5
P05412	P22087
P05412	Q02790
P05412	Q9H598
P05412	P62316
P05412	Q93034
P05412	P13807
P05412	Q10567
P05412	Q9NX63
P05412	P15311
P05412	P09874
P05412	Q9UJS0
P05412	Q9UNX4
P05412	Q8IYU8
P05412	Q05519
P05412	O95232
P05412	Q14651
P05412	E9PJN9
P05412	O76094
P05412	Q9Y3Y2
P05412	Q14596
P05412	Q9UGR2
P05412	Q9HB71
P05412	P61201
P05412	P14649
P05412	Q14315
P05412	Q9P258
P05412	Q5BKZ1
P05412	P08670
P05412	Q15155
P05412	O60343
P05412	Q99733
P05412	Q9H0S4
P05412	Q14204
P05412	Q6NUQ4
P05412	O95433
P05412	P55060
P05412	O14979
P05412	P51116
P05412	P61163
P05412	Q99832
P05412	P10809
P05412	A0A0S2Z4G4
P05412	P25787
P05412	P12236
P05412	P53539
P05412	Q99615
P05412	Q96A65
P05412	Q02878
P05412	P36551
P05412	P60660
P05412	P25398
P05412	Q5JTH9
P05412	P62917
P05412	O75197
P05412	O95573
P05412	Q08J23
P05412	Q06830
P05412	Q9P015
P05412	Q8N9B4
P05412	P62820
P05412	Q14974
P05412	Q9GZZ1
P05412	P55036
P05412	Q9BZI7
P05412	Q9NXF1
P05412	P50502
P05412	Q14997
P05412	Q9Y4W6
P05412	P35249
P05412	P53992
P05412	Q9BVA1
P05412	P05388
P05412	Q13813
P05412	Q9GZT9
P05412	P04181
P05412	P36543
P05412	P23526
P05412	P50991
P05412	O43592
P05412	Q9BVP2
P05412	Q92841
P05412	Q6P587
P05412	Q9UKF6
P05412	P48426
P05412	P68371
P05412	Q9Y676
P05412	Q9Y266
P05412	Q96A33
P05412	Q96CW1
P05412	Q9P2I0
P05412	Q13263
P05412	P04406
P05412	Q7Z478
P05412	Q13435
P05412	P62701
P05412	P48730
P05412	Q15637
P05412	Q9Y678
P05412	Q9UQ88
P05412	P07237
P05412	Q4G0J3
P05412	O94906
P05412	B1ALA9
P05412	P28072
P05412	Q99700
P05412	P55884
P05412	P46940
P05412	P46783
P05412	Q9C0C9
P05412	P42898
P05412	Q9Y2R4
P05412	Q96CN7
P05412	P25705
P05412	Q8IZ69
P05412	Q9H082
P05412	Q9GZR7
P05412	P62873
