Uniprot_A	Uniprot_B
Q9Y6H5	P37840
P37840	Q9Y6H5
P37840	Q9Y6H5
D3ZWQ5	P37840
P37377	D3ZWQ5
P37840	Q9Y6H5
Q9Y6H5	P37840
Q9Y6H5	Q16143
P37840	Q9Y6H5
Q99966	P03259
P05412	Q99966
P05412	P18847
P15336	P05412
P05412	Q99966
P15336	Q99966
P15336	Q99966
Q5EG65-PRO_0000037559	O00571
Q5EG65-PRO_0000037559	O00571
P02340	P03070
Q5EG65-PRO_0000037559	O00571
Q5EG65-PRO_0000037559	O00571
P55211	Q9Y239
O43353	Q9Y239
Q09472	P03255
P03255-2	Q09472
Q00403	Q09472
Q09472	P24941
Q09472	Q00403
P24941	Q09472
Q09472	P24941
Q09472	P24941
P24864	P24941
Q13263	P83917
P23198	Q13263
Q13263	Q13185
Q13263	P45973
Q13263	P45973
Q13263	P45973
P23198	Q13263
Q92997	O14640
O70239	O70239
O70239	O70239
O70239	O14640
O14640	O70239
O14640	O14640
O14640	Q92997
Q92997	O14640
O70239	O70239
O14640	O70239
Q92997	O14640
O70239	O70239
O14640	O70239
O14640	O14640
O14640	O70239
O14640	Q92997
P54259	Q9UQB8
P54258	Q6GMN2
Q9UQB8	P54259
P23727	P09619
O00571	P26664-PRO_0000037517
P26664-PRO_0000037517	O00571
P26664-PRO_0000037517	O00571
P52565	P62999
Q8N474	O60353
Q8N474	O60353
P09544	Q8N474
Q8N474	Q8N474
O60353	Q8N474
P15498	Q13094
P15498	Q13094
Q6ZTM8	Q92793
P03255	Q92793
P03255	Q92793
Q14974-1	P52292
P62826	Q92973
P62993	P29353
Q9Y3B3	P49755
Q9Y3B3	Q15363
Q9Y3B3	Q9BVK6
P49755	Q15363
P49755	Q9Y3B3
P49755	Q9BVK6
O60921	Q99638
Q99638	O60921
O60671	O60921
O60921	Q99638
Q99638	O60921
O60921	O60671
O60671	O60921
O60671	Q99638
O60671	Q99638
P37275	Q13363
P28166	Q13363
P03372	Q99623
Q99623	P03372
Q99623	P03372
Q99623	P03372
P62873	P02698
P60953-2	P42768
P60953-2	Q07912
P10275	Q92993
P10275	Q92993
P26045	P55072
P26045	P55072
Q01853	P26045
Q12824-1	P06789
P06789	Q12824-1
Q12824-1	P06789
P06789	Q12824-1
P06789	Q12824-1
P06789	Q12824-1
Q12824-1	P06789
Q12824-1	P06789
Q12824-1	P04014
P03116	Q12824-1
Q12824-1	P06789
P06789	Q12824-1
P06789	Q12824-1
Q13045	Q32MZ4
Q9Y608	Q13045
P49810	Q99828
Q99828	P49810
P49810	Q99828
P48058	Q9UQM7
P17612	P48058
P48058	P17612
P08575	P06239
P08575	P09382
P08575	P09382
Q8CCI5	Q9CQJ4
Q8CCI5	O35730
Q9CQJ4	Q8CCI5
O35730	Q8CCI5
Q8CCI5	O35730
P30658	Q8CCI5
P25490	Q8CCI5
O35730	P30658
Q8CCI5	P30658
P30658	Q8CCI5
P25490	Q8CCI5
Q8CCI5	Q8ST83
P03122	Q16637-1
Q16637-1	P03122
Q16637-1	P04015
Q16637-1	P03120
Q16637-1	P06790
Q16637-1	P03122
Q16637-1	P03122
P03122	Q16637-1
P62493	P49810
P49768	P62493
P62493	P49810
P49768	P62493
Q92830	O75486
Q92830	O75528
Q92830	Q12962
Q92830	Q6P1X5
Q92830	O00268
Q92830	Q15542
Q92830	O75529
Q92830	Q9Y4A5
Q92831	O75529
Q92831	O75528
Q92831	O75486
Q92831	Q12962
Q92831	O75478
Q92831	Q92830
P20226	Q12962
P20226	Q6P1X5
P20226	O00268
P20226	Q15542
Q14191	P27694
Q15365	P11940
P11940	Q15366
Q15366	P11940
Q15365	P11940
P60896	P51587
P60896	P51587
P60896	P51587
P51587	P60896
O15360	O15287
P10686	P09619
Q03060-11	P49427
P49427	Q9Y2D1
Q99640	P14635
P06493	Q99640
Q99640	P06493
P14635	Q99640
P06463	Q16611
Q16611	P03126
Q16611	P04019
O14727	P55211
O14727	P55211
P55211	O14727
P62993	P10721
Q14451	P10721
P62993	P10721
P27986	P15311
P02545-1	P03247
P03247	P02545-2
Q16611	P03247
