	Entry	Gene Names	Involvement in disease	Organism
0	Q8WX93	PALLD KIAA0992 CGI-151	DISEASE: Pancreatic cancer 1 (PNCA1) [MIM:606856]: A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue. {ECO:0000269|PubMed:17194196, ECO:0000269|PubMed:17415588, ECO:0000269|PubMed:17455999}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Note=Genetic variations in PALLD may be associated with susceptibility to myocardial infarction. {ECO:0000269|PubMed:16175505}.	Homo sapiens (Human)
1	P42771	CDKN2A CDKN2 MTS1	DISEASE: Note=The association between cutaneous and uveal melanomas in some families suggests that mutations in CDKN2A may account for a proportion of uveal melanomas. However, CDKN2A mutations are rarely found in uveal melanoma patients.; DISEASE: Melanoma, cutaneous malignant 2 (CMM2) [MIM:155601]: A malignant neoplasm of melanocytes, arising de novo or from a pre-existing benign nevus, which occurs most often in the skin but may also involve other sites. {ECO:0000269|PubMed:10651484, ECO:0000269|PubMed:10874641, ECO:0000269|PubMed:11506491, ECO:0000269|PubMed:12019208, ECO:0000269|PubMed:14646619, ECO:0000269|PubMed:19260062, ECO:0000269|PubMed:7987387, ECO:0000269|PubMed:8595405, ECO:0000269|PubMed:8653684, ECO:0000269|PubMed:8710906, ECO:0000269|PubMed:8723678, ECO:0000269|PubMed:9328469, ECO:0000269|PubMed:9425228}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Familial atypical multiple mole melanoma-pancreatic carcinoma syndrome (FAMMMPC) [MIM:606719]: An inherited cancer predisposition syndrome characterized by an increased risk of developing malignant melanoma and/or pancreatic cancer. Mutation carriers within families may develop either or both types of cancer. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Melanoma-astrocytoma syndrome (MASTS) [MIM:155755]: Characterized by a dual predisposition to melanoma and neural system tumors, commonly astrocytoma. {ECO:0000269|PubMed:11136714}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
2	Q5HYI8	RABL3	DISEASE: Pancreatic cancer 5 (PNCA5) [MIM:618680]: A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue. {ECO:0000269|PubMed:31406347}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. RABL3 variants have been found in families with a history of pancreatic ductal adenocarcinoma and multiple other occurrences of cancer, including melanoma, breast cancer, prostate cancer, and colon cancer. {ECO:0000269|PubMed:31406347}.	Homo sapiens (Human)
3	P00995	SPINK1 PSTI	DISEASE: Pancreatitis, hereditary (PCTT) [MIM:167800]: A disease characterized by pancreas inflammation, permanent destruction of the pancreatic parenchyma, maldigestion, and severe abdominal pain attacks. {ECO:0000269|PubMed:10691414, ECO:0000269|PubMed:10835640, ECO:0000269|PubMed:12974284, ECO:0000269|PubMed:18617776, ECO:0000269|PubMed:19888199}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Tropical calcific pancreatitis (TCP) [MIM:608189]: Idiopathic, juvenile, nonalcoholic form of chronic pancreatitis widely prevalent in several tropical countries. It can be associated with fibrocalculous pancreatic diabetes (FCPD) depending on both environmental and genetic factors. TCP differs from alcoholic pancreatitis by a much younger age of onset, pancreatic calcification, a high incidence of insulin dependent but ketosis resistant diabetes mellitus, and an exceptionally high incidence of pancreatic cancer. {ECO:0000269|PubMed:12011155, ECO:0000269|PubMed:12187509}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
4	Q86YC2	PALB2 FANCN	DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:17287723, ECO:0000269|PubMed:22241545, ECO:0000269|PubMed:28319063}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. Breast cancer susceptibility is strongly associated with PALB2 truncating mutations. Conversely, rare missense mutations do not strongly influence breast cancer risk (PubMed:22241545). {ECO:0000269|PubMed:22241545}.; DISEASE: Fanconi anemia complementation group N (FANCN) [MIM:610832]: A disorder affecting all bone marrow elements and resulting in anemia, leukopenia and thrombopenia. It is associated with cardiac, renal and limb malformations, dermal pigmentary changes, and a predisposition to the development of malignancies. At the cellular level it is associated with hypersensitivity to DNA-damaging agents, chromosomal instability (increased chromosome breakage) and defective DNA repair. {ECO:0000269|PubMed:17200671, ECO:0000269|PubMed:17200672}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Pancreatic cancer 3 (PNCA3) [MIM:613348]: A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue. {ECO:0000269|PubMed:19264984}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Breast-ovarian cancer, familial, 5 (BROVCA5) [MIM:620442]: A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate. {ECO:0000269|PubMed:17200668, ECO:0000269|PubMed:18053174, ECO:0000269|PubMed:23448497, ECO:0000269|PubMed:24556926, ECO:0000269|PubMed:31841383}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
5	P51587	BRCA2 FACD FANCD1	DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:10399947, ECO:0000269|PubMed:10978364, ECO:0000269|PubMed:11139248, ECO:0000269|PubMed:11149425, ECO:0000269|PubMed:11241844, ECO:0000269|PubMed:11948477, ECO:0000269|PubMed:12145750, ECO:0000269|PubMed:12373604, ECO:0000269|PubMed:12442274, ECO:0000269|PubMed:12442275, ECO:0000269|PubMed:12569143, ECO:0000269|PubMed:12938098, ECO:0000269|PubMed:14722926, ECO:0000269|PubMed:15026808, ECO:0000269|PubMed:15172753, ECO:0000269|PubMed:15365993, ECO:0000269|PubMed:16793542, ECO:0000269|PubMed:17924331, ECO:0000269|PubMed:23108138, ECO:0000269|PubMed:24013206, ECO:0000269|PubMed:29161300, ECO:0000269|PubMed:8640237, ECO:0000269|PubMed:9150152, ECO:0000269|PubMed:9609997, ECO:0000269|PubMed:9654203, ECO:0000269|PubMed:9971877}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Pancreatic cancer 2 (PNCA2) [MIM:613347]: A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue. {ECO:0000269|PubMed:9140390}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Breast-ovarian cancer, familial, 2 (BROVCA2) [MIM:612555]: A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate. {ECO:0000269|PubMed:10584720, ECO:0000269|PubMed:11158174, ECO:0000269|PubMed:7658781, ECO:0000269|PubMed:9150155}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Fanconi anemia complementation group D1 (FANCD1) [MIM:605724]: A disorder affecting all bone marrow elements and resulting in anemia, leukopenia and thrombopenia. It is associated with cardiac, renal and limb malformations, dermal pigmentary changes, and a predisposition to the development of malignancies. At the cellular level it is associated with hypersensitivity to DNA-damaging agents, chromosomal instability (increased chromosome breakage) and defective DNA repair. {ECO:0000269|PubMed:12065746, ECO:0000269|PubMed:14670928, ECO:0000269|PubMed:16825431, ECO:0000269|PubMed:17924331, ECO:0000269|PubMed:21719596, ECO:0000269|PubMed:23108138}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Glioma 3 (GLM3) [MIM:613029]: Gliomas are benign or malignant central nervous system neoplasms derived from glial cells. They comprise astrocytomas and glioblastoma multiforme that are derived from astrocytes, oligodendrogliomas derived from oligodendrocytes and ependymomas derived from ependymocytes. {ECO:0000269|PubMed:15689453}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Medulloblastoma (MDB) [MIM:155255]: Malignant, invasive embryonal tumor of the cerebellum with a preferential manifestation in children. {ECO:0000269|PubMed:29753700}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
6	Q13485	SMAD4 DPC4 MADH4	DISEASE: Pancreatic cancer (PNCA) [MIM:260350]: A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue. {ECO:0000269|PubMed:8553070}. Note=The gene represented in this entry may be involved in disease pathogenesis.; DISEASE: Juvenile polyposis syndrome (JPS) [MIM:174900]: Autosomal dominant gastrointestinal hamartomatous polyposis syndrome in which patients are at risk for developing gastrointestinal cancers. The lesions are typified by a smooth histological appearance, predominant stroma, cystic spaces and lack of a smooth muscle core. Multiple juvenile polyps usually occur in a number of Mendelian disorders. Sometimes, these polyps occur without associated features as in JPS; here, polyps tend to occur in the large bowel and are associated with an increased risk of colon and other gastrointestinal cancers. {ECO:0000269|PubMed:12417513, ECO:0000269|PubMed:9811934}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome (JP/HHT) [MIM:175050]: JP/HHT syndrome phenotype consists of the coexistence of juvenile polyposis (JIP) and hereditary hemorrhagic telangiectasia (HHT) [MIM:187300] in a single individual. JIP and HHT are autosomal dominant disorders with distinct and non-overlapping clinical features. The former, an inherited gastrointestinal malignancy predisposition, is caused by mutations in SMAD4 or BMPR1A, and the latter is a vascular malformation disorder caused by mutations in ENG or ACVRL1. All four genes encode proteins involved in the transforming-growth-factor-signaling pathway. Although there are reports of patients and families with phenotypes of both disorders combined, the genetic etiology of this association is unknown. {ECO:0000269|PubMed:15031030}. Note=The disease is caused by variants affecting the gene represented in this entry.; DISEASE: Colorectal cancer (CRC) [MIM:114500]: A complex disease characterized by malignant lesions arising from the inner wall of the large intestine (the colon) and the rectum. Genetic alterations are often associated with progression from premalignant lesion (adenoma) to invasive adenocarcinoma. Risk factors for cancer of the colon and rectum include colon polyps, long-standing ulcerative colitis, and genetic family history. {ECO:0000269|PubMed:16959974}. Note=The disease may be caused by variants affecting the gene represented in this entry.; DISEASE: Note=SMAD4 variants may be associated with susceptibility to pulmonary hypertension, a disorder characterized by plexiform lesions of proliferating endothelial cells in pulmonary arterioles. The lesions lead to elevated pulmonary arterial pression, right ventricular failure, and death. The disease can occur from infancy throughout life and it has a mean age at onset of 36 years. Penetrance is reduced. Although familial pulmonary hypertension is rare, cases secondary to known etiologies are more common and include those associated with the appetite-suppressant drugs. {ECO:0000269|PubMed:21898662}.; DISEASE: Myhre syndrome (MYHRS) [MIM:139210]: An autosomal dominant syndrome characterized by pre- and postnatal growth deficiency, intellectual disability, generalized muscle hypertrophy and striking muscular build, decreased joint mobility, cryptorchidism, and unusual facies. Dysmorphic facial features include microcephaly, midface hypoplasia, prognathism, and blepharophimosis. Typical skeletal anomalies are short stature, square body shape, broad ribs, iliac hypoplasia, brachydactyly, flattened vertebrae, and thickened calvaria. Other features, such as congenital heart disease, may also occur. {ECO:0000269|PubMed:22158539, ECO:0000269|PubMed:22243968}. Note=The disease is caused by variants affecting the gene represented in this entry.	Homo sapiens (Human)
7	P38398	BRCA1 RNF53	DISEASE: Breast cancer (BC) [MIM:114480]: A common malignancy originating from breast epithelial tissue. Breast neoplasms can be distinguished by their histologic pattern. Invasive ductal carcinoma is by far the most common type. Breast cancer is etiologically and genetically heterogeneous. Important genetic factors have been indicated by familial occurrence and bilateral involvement. Mutations at more than one locus can be involved in different families or even in the same case. {ECO:0000269|PubMed:10323242, ECO:0000269|PubMed:11114888, ECO:0000269|PubMed:11301010, ECO:0000269|PubMed:12427738, ECO:0000269|PubMed:12442275, ECO:0000269|PubMed:12938098, ECO:0000269|PubMed:14722926, ECO:0000269|PubMed:15133502, ECO:0000269|PubMed:18285836, ECO:0000269|PubMed:21473589, ECO:0000269|PubMed:23867111, ECO:0000269|PubMed:28364669, ECO:0000269|PubMed:7545954, ECO:0000269|PubMed:7894491, ECO:0000269|PubMed:7894493, ECO:0000269|PubMed:7939630, ECO:0000269|PubMed:8554067, ECO:0000269|PubMed:8723683, ECO:0000269|PubMed:8776600, ECO:0000269|PubMed:8807330, ECO:0000269|PubMed:9482581, ECO:0000269|PubMed:9609997, ECO:0000269|PubMed:9760198}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. Mutations in BRCA1 are thought to be responsible for 45% of inherited breast cancer. Moreover, BRCA1 carriers have a 4-fold increased risk of colon cancer, whereas male carriers face a 3-fold increased risk of prostate cancer. Cells lacking BRCA1 show defects in DNA repair by homologous recombination.; DISEASE: Breast-ovarian cancer, familial, 1 (BROVCA1) [MIM:604370]: A condition associated with familial predisposition to cancer of the breast and ovaries. Characteristic features in affected families are an early age of onset of breast cancer (often before age 50), increased chance of bilateral cancers (cancer that develop in both breasts, or both ovaries, independently), frequent occurrence of breast cancer among men, increased incidence of tumors of other specific organs, such as the prostate. {ECO:0000269|PubMed:12938098, ECO:0000269|PubMed:14722926, ECO:0000269|PubMed:17924331, ECO:0000269|PubMed:20513136, ECO:0000269|PubMed:28364669, ECO:0000269|PubMed:8968716}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry. Mutations in BRCA1 are thought to be responsible for more than 80% of inherited breast-ovarian cancer.; DISEASE: Ovarian cancer (OC) [MIM:167000]: The term ovarian cancer defines malignancies originating from ovarian tissue. Although many histologic types of ovarian tumors have been described, epithelial ovarian carcinoma is the most common form. Ovarian cancers are often asymptomatic and the recognized signs and symptoms, even of late-stage disease, are vague. Consequently, most patients are diagnosed with advanced disease. {ECO:0000269|PubMed:10196379, ECO:0000269|PubMed:10486320, ECO:0000269|PubMed:14746861, ECO:0000269|PubMed:28364669}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Pancreatic cancer 4 (PNCA4) [MIM:614320]: A malignant neoplasm of the pancreas. Tumors can arise from both the exocrine and endocrine portions of the pancreas, but 95% of them develop from the exocrine portion, including the ductal epithelium, acinar cells, connective tissue, and lymphatic tissue. {ECO:0000269|PubMed:18762988}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.; DISEASE: Fanconi anemia, complementation group S (FANCS) [MIM:617883]: A form of Fanconi anemia, a disorder affecting all bone marrow elements and resulting in anemia, leukopenia and thrombopenia. It is associated with cardiac, renal and limb malformations, dermal pigmentary changes, and a predisposition to the development of malignancies. At the cellular level it is associated with hypersensitivity to DNA-damaging agents, chromosomal instability (increased chromosome breakage) and defective DNA repair. {ECO:0000269|PubMed:23269703, ECO:0000269|PubMed:25472942, ECO:0000269|PubMed:29133208}. Note=Disease susceptibility is associated with variants affecting the gene represented in this entry.	Homo sapiens (Human)
